Marieve Fournier,"Je l'ai suivi du Saguenay! Incroyable. J'ai adoré tous vous voir vous préparer, avoir pris ça au sérieux, vivre vos émotions. Regarder certains, comme Étienne, réalisé un rêve ! C'est fou le projet et Bravooo!"
Guil B,"Merci les gars, le monde a besoin de plus de belles choses du genres de nos jours."
god lol,veritable plaisir de revivre la course c'etait incroyable merci au 22 pilotes c'etait fou
Spezzy,Merci
Justin,"Incroyable, je te suit depuis que je suis au collège lorsque tu étais sur code à imiter les campeurs en étant dans ta tente chez toi ahah, et j'ai toujours voulu et rêvé d'être YouTube. Maintenant, c'est décidé, je m'y met sérieusement (mieux vaut tard que jamais <3). En espérant de nouveau regarder un GP Explorer II 💪🏼🔥♥"
Noa REUTENAUER KUNTZMANN,Squeeziez roule en Porsche
Bastien Belloc,WOW tu ma foutu es larme merci pour cette vidéo
Fatimaezzahra Ch,BRAVO ✨!
eternal seles,respect mec...superbe
Victor,Stylés les Alpines 😉
fenrirvhalala,Youtube change et c'est mieux comme ça grâce à toi
Ultro,Incroyable.
Tom Cheminet,Tu mérites ton succès Squeezie!!! Vraiment
Kylian,"Première fois de ma vie que je pleure devant mon écran ""bravo"" l'événement le plus beau <3"
Robin,Merci fraire
FLAXY.,Un documentaire incroyable j’ai quelques larmes qui on couler en te voyant pleurer mais continue comme sa tu est juste incroyable ❤️
